,,name,lat,lon,distance,type
first,0,MUNI Bus Stop - 2nd & Harrison,37.784132,-122.39517,158,"{'typepoint': {'type': 'Point', 'coordinates': [37.784132, -122.39517]}}"
first,1,MUNI Bus Stop - Harrison & 2nd,37.784305,-122.395467,176,"{'typepoint': {'type': 'Point', 'coordinates': [37.784305, -122.395467]}}"
first,2,MUNI Bus Stop - Brannan & 2nd,37.781579,-122.392223,232,"{'typepoint': {'type': 'Point', 'coordinates': [37.781579, -122.392223]}}"
first,3,MUNI Bus Stop - 3rd & Perry,37.781735,-122.396606,267,"{'typepoint': {'type': 'Point', 'coordinates': [37.781735, -122.396606]}}"
first,4,Golden Gate Transit,37.78206,-122.397485,307,"{'typepoint': {'type': 'Point', 'coordinates': [37.78206, -122.397485]}}"
first,5,MUNI Bus Stop - Townsend & 3rd,37.77888,-122.392495,475,"{'typepoint': {'type': 'Point', 'coordinates': [37.77888, -122.392495]}}"
second,0,Sylvia s Family Child Care,37.783312,-122.397774,326,"{'typepoint': {'type': 'Point', 'coordinates': [37.783312, -122.397774]}}"
third,0,Club X,37.78206,-122.397485,339,"{'typepoint': {'type': 'Point', 'coordinates': [37.78206, -122.397485]}}"
third,1,City Nights,37.782039,-122.397771,325,"{'typepoint': {'type': 'Point', 'coordinates': [37.782039, -122.397771]}}"
third,2,SYNERGY's GLOW,37.785531,-122.393101,265,"{'typepoint': {'type': 'Point', 'coordinates': [37.785531, -122.393101]}}"
third,3,Infusion,37.782522,-122.392709,132,"{'typepoint': {'type': 'Point', 'coordinates': [37.782522, -122.392709]}}"
third,4,Serena SF Clubs Guest Lists,37.782039,-122.397771,344,"{'typepoint': {'type': 'Point', 'coordinates': [37.782039, -122.397771]}}"
fourth,0,SF Brew Fest N' Vegan Eats Invitational,37.785634,-122.393036,301,"{'typepoint': {'type': 'Point', 'coordinates': [37.785634, -122.393036]}}"
fifth,0,81 Bus Stop,37.393874,-122.078701,63,"{'typepoint': {'type': 'Point', 'coordinates': [37.393874, -122.078701]}}"
fifth,1,East Whisman Shuttle,37.3947,-122.076815,131,"{'typepoint': {'type': 'Point', 'coordinates': [37.3947, -122.076815]}}"
seveneigth,0,Soiree Sitters,37.393059,-122.077725,170,"{'typepoint': {'type': 'Point', 'coordinates': [37.393059, -122.077725]}}"
seveneigth,1,Young Giggles,37.397375,-122.076104,388,"{'typepoint': {'type': 'Point', 'coordinates': [37.397375, -122.076104]}}"
ninth,0,Alberto's Night Club,37.392426,-122.078764,243,"{'typepoint': {'type': 'Point', 'coordinates': [37.392426, -122.078764]}}"
ninth,1,Monte Carlo,37.393495,-122.079395,133,"{'typepoint': {'type': 'Point', 'coordinates': [37.393495, -122.079395]}}"
ninth,2,Opal,37.393021,-122.079154,154,"{'typepoint': {'type': 'Point', 'coordinates': [37.393021, -122.079154]}}"
ninth,3,Molly Mcgee's,37.393293,-122.079026,136,"{'typepoint': {'type': 'Point', 'coordinates': [37.393293, -122.079026]}}"
ninth,4,R.A. Blues,37.392426,-122.078764,226,"{'typepoint': {'type': 'Point', 'coordinates': [37.392426, -122.078764]}}"
